Formula,T,Seebeck,s,k,ZT
Ta0.96Ti0.04FeSb,370,194.48,80100,6.365,0.178
SnTe0.1AgSbSe2,650,124.85,96644,1.973,0.496
Cu2.2Sn0.8Sb0.2Se3.2,372,56,191450,3.27,0.068
LaCo0.9Ni0.1O3,300,265,1518,0.425,0.072
(Zn0.9In0.1)4Sb3,423,187.5,13143,0.82,0.238
Cd2Cu3In3Te8,335,148.4,18310,1.923,0.07
Mg3.5Ho0.02Sb2,500,-289.36,10129,0.926,0.458
GeSe0.95Te0.05,778,470.62,800,0.631,0.218
ZrNiPb0.92Sn0.6Bi0.02,771,-161.7,196761,5.9,0.672
Ag0.97Cr0.95Sb0.05Se2,603,135.81,10491,0.485,0.24
FeNb0.96Ti0.04Sb,900,284,42000,6.43,0.474
Tb0.03Co4Sb12,600,-280,30100,2.9,0.4
Yb10LaCdSb9,573,48.55,27725,0.856,0.044
Tl9.0Bi0.97Te6.0,503,216.5,18455,0.45,0.967
Cu3.0SbSe4,323,497,2394,2.42,0.079
AgBiSe2.0,514,-177,13400,0.71,0.304
AgBi0.9Sb0.1Se2,600,-59.9,236,0.335,0.002
Zn0.9Cd0.1Sc0.01O1.015,473,-92,53542,5.7,0.038
Cu7P(S0.55Se0.45)6,623,286,1926,0.223,0.44
Sn0.92Ge0.04As0.04Te,328,37.47,786420,7.477,0.106
K0.45Co4Sb12,300,-106,273000,4.5,0.2
In0.005Pb0.995Te0.998I0.002,428,-231.5,28100,1.53,0.421
Co9S8,250,-15,1666700,11.28,0.008
(SnTe)10Sb2Te3,523,135.54,117848,1.9,0.596
Hf0.7Ti0.3CoSb0.8Sn0.2,1088,232,47600,2.895,0.963
Pb0.995Zn0.02Te,724,-287.6,24420,1.111,1.317
Ag2.0Se0.5Te0.5,315,-92.76,63400,0.632,0.272
Mg2Cu3In3Te8,770,267,7700,1,0.426
Yb13.6Ce0.363Mn0.99Sb11.05,473,87.94,37828,0.874,0.158
Ag0.97Cr0.97Bi0.03Se2,503,105.93,15260,0.409,0.211
Sr14.8Ga28.6Ge56.6,711,-124.3,65608,2.232,0.323
Mg2.9875Na0.0125Sb2,473,134,29134,1.3,0.19
Cu3Sb0.975Ge0.025S4,373,308,5210,1.506,0.122
Eu2Zn0.98Sb2,723,235,10408,0.448,0.94
S0.08Pd0.20Co3.80Sb12.04,300,-212,59400,2.9,0.2
Sn0.91Mn0.09Te,331,58.98,300000,3.934,0.088
AgCuTe,623,252.23,9320,0.519,0.712
In0.005Pb0.995Te0.996I0.004,378,-191.02,49400,1.828,0.38
In3.94Pb0.06Se3,330,-200,7300,1.52,0.063
Zn0.875Cd0.125Sc0.02O1.03,573,-101,35570,4.25,0.049
Ge0.55Sb0.25Te0.8(AgSnSe2)0.2,523,215.53,27750,0.72,0.966
Rb2Bi8Se12.9805Cl0.0195,526,-147.42,9412,0.648,0.166
SnAgSbSe2,650,71.3,236200,4.662,0.167
TlCr5Se8,323,226,6670,0.706,0.156
AgCuTe0.6Se0.4,623,251.4,7184,0.504,0.562
Gd2.79Se4,350,-65.6,19310,1.294,0.022
Cu10.5Ni1.5Sb4S13,420,157,21000,0.675,0.324
Sr0.21Co4Sb12.25,300,-126,240000,4.87,0.235
In3.94Pb0.06Se3,405,-220,7800,1.345,0.114
Ca1.11Yb3.89Al2Sb5.77Ge0.23,614,59.9,23692,1.896,0.028
Mg2Sn0.995Sb0.005,646,-187,104380,4.302,0.548
Ag0.97CuSe,391,-30.57,59903,2.116,0.01
Eu(Zn0.9Cd0.1)2Sb2,300,125,100500,2.29,0.206
Ag(Bi0.85Nb0.15)0.7Sb0.3Se2,478,-276,2239,0.632,0.129
Ga0.03Co4Sb11.985Ga0.015,300,-286.6,11100,3.5,0.1
Cr2Ge2Te6,713,336.08,2062.5,0.63,0.264
Cu5Sn2S7,300,30.4,337313,5.513,0.017
Cu0.9Pd0.1FeS2,70,-56.49,56200,12.61,0.001
Sr0.16Yb0.03Co4Sb11.82,850,-189,152273,3.62,1.277
Ce0.2Bi1.8Te3,498,-154.63,59028,0.67,1.049
Nd2.86Te4,1173,-145.3,54180,1.6,0.85
Ag0.04Cr1.96Se3,725,151.4,25412,1.6,0.264
Nb0.85Ta0.15CoSn0.9Sb0.1,826,-163.24,85957,4.124,0.459
In0.015Pb0.985Te0.998I0.002,378,-209,19730,1.68,0.192
GeSe0.7Te0.3,430,20,85075,1.612,0.009
In3.95Pb0.05Se3,405,-230,7500,0.93,0.173
AgCuTe0.7Se0.3,422,191.83,14854,0.319,0.736
Zr0.5Hf0.5 Co0.9Ni0.1Sb,300,-112.7,67760,5.07,0.05
Pb0.995Zn0.02Te,825,-261.14,27039,1.147,1.326
Cu10.5NiZn0.5Sb4S13,517,190.6,19800,0.55,0.677
Cu2.7Ag0.3ErTe3,600,68,150000,1.34,0.311
AgCuTe,522,255.44,9806,0.47,0.71
Ba8Cu5Si25Ge16,613,-97.5,84000,1.903,0.255
GeSe0.9Te0.1,728,158.93,3483,0.84,0.076
(Sn0.985In0.015Te)0.9(AgCl)0.1,423,70.22,365169,3.578,0.213
Ta0.84Ti0.16FeSb,770,200,135000,3.913,1.065
Ge1.04Te,423,100.54,323462,4.105,0.337
Mg3.07Sb1.5Bi0.48Se0.02,400,-285,10734,0.749,0.466
Ag0.01Sn0.99Se0.65S0.35,518,401.7,326,0.185,0.147
Zn0.9Cd0.1Sc0.03O1.045,300,-76.3,55100,7.91,0.012
Nd2.78Te4,373,-58,94460,1.387,0.085
(Cu3SnS4)0.915(Ga2Te3)0.085,479,71.72,150000,3.429,0.108
Ag0.03Cr1.97Se3,300,82,39393,1.534,0.052
Cu2.025Cd0.975SnSe4,550,191.2,7069,1.13,0.126
Bi0.825Ba0.175CuSeO,319,151.28,24279,0.767,0.319
Hf0.7Ti0.3CoSb0.8Sn0.2,676,215,47800,2.835,0.531
BaBiTe3,323,-140,9749,0.461,0.134
SnS,873,361,5700,0.729,0.911
Mg3.07Sb1.5Bi0.45Se0.05,300,-279.24,7900,0.874,0.212
GeSe0.75Te0.25,320,14.03,99254,1.685,0.004
Ca5Ga1.7Zn0.3Sb6,773,106.8,39512,1.3,0.268
CuGa0.97Mn0.03Te2,475,214,22149,3.652,0.132
Ba8.04Cu4.9Si3.23Ge37.83,763,-143,47800,1.53,0.483
Hf0.7Ti0.3CoSb0.8Sn0.2,989,230,47900,2.871,0.873
BiCuSeO,473,424,589,0.609,0.082
Eu2ZnSb2,723,288,4320,0.42,0.617
Ca3.46Yb1.35Pr0.19Al2Sb6,423,-141.07,667,1.446,0.004
Tl9.0Bi0.98Te6.0,385,190,20636,0.446,0.643
FeNb0.86Hf0.14Sb,400,102.9,492248,6.424,0.325
Cu5Sn2S7,524,54.83,200000,3.638,0.087
Cu3Sb0.85Ge0.15S4,373,137.78,45664,1.794,0.18
Tb0.03Co4Sb12,800,-176,38700,3.4,0.2
Ba0.05Yb0.09Co4Sb12,300,-157.5,112400,2.814,0.29
Ca9Yb2Sb9Ge,513,-1.33,14639,0.884,0
Yb13.43Ce0.44Mn1.07Sb11.07,300,28.2,43750,0.72,0.014
Ta0.88Ti0.12FeSb,304,111.4,401150,5.977,0.253
Cu2Se0.92I0.08,410,190,10278,0.519,0.293
Sb0.1Ge0.9Te,573,221.4,55046,1.455,1.039
EuCd2Sb2,300,227.2,11111,1.412,0.122
Ge0.55Pb0.45Te0.5Se0.5,668,279.5,10000,0.39,1.464
Sr14.7Ga28.7Ge56.6,772,-153.94,52325,1.513,0.633
TmCuTe2,720,175,23731,0.711,0.736
Ag0.97CuSe,557,204.46,15597,0.564,0.644
PbZn0.015Te,520,-326,15980,1.244,0.728
TiZr0.005NiSn,729,-181.8,83721,3.015,0.669
Sn0.91Mn0.09Te0.97I0.03,818,202.06,53333,1.565,1.138
Ba1.4Bi0.6CoRuO6,618,66.5,93800,1.094,0.234
Mg2.16(Si0.4Sn0.6)0.99Bi0.01,300,-155.44,127519,2.546,0.363
Ag3.9Mo9Se11,743,181.6,16500,0.74,0.546
Zn0.85Cd0.15Sc0.02O1.03,373,-59,19800,6.583,0.004
Ge0.87Mn0.05Sb0.08Te,773,213.9,70103,1.49,1.664
Cu1.7Se,572,40.59,424324,5.006,0.08
Ge0.55Pb0.45Te0.3Se0.7,721,290.63,6875,0.685,0.728
Ca0.2BaGd1.8NiO5,1188,188.24,457.55,1.539,0.013
Sn0.91Mn0.09Te0.98I0.02,818,202.06,54872,1.489,1.231
Yb13.43Ce0.44Mn1.07Sb11.07,673,149.37,22900,0.683,0.503
In4Se2.32Cl0.03,523,-270.3,16390,0.82,0.764
Eu(Zn0.9Cd0.1)2Sb2,600,190,63500,1.44,0.955
Er0.02(Bi0.23Sb0.77)1.98Te3,500,192.39,31784,1.079,0.545
Hf0.9Ti0.1CoSb0.8Sn0.2,574.6,190.24,63972,3.353,0.397
Ag3.7Mo9Se11,547,112.5,40700,1.144,0.245
Bi0.94Ag0.06CuSeO,423,250,1430,0.518,0.073
CuGa0.98Mn0.02Te2,670,242.9,21974,2.55,0.341
Co9S8,18,-2.5,94644551,27.77,0
FeNb0.9Zr0.1Sb,1000,238.2,92200,6.92,0.756
Cu2.2Sn0.8Sb0.2Se3.2,523,75,146800,2.8,0.154
Cu3Sb0.925Ge0.075S4,300,175,20200,2.039,0.091
Ba8.04Cu4.9Si3.23Ge37.83,417,-80.8,85500,1.563,0.149
Ag2Se,573,-103.6,114210,3.08,0.221
Cu5SnSbSe6.79,473,47.47,316379,4.172,0.081
NbCo0.94Ni0.06Sn,898,-108.24,96190,6.369,0.159
Mg3.5Ho0.04Sb1.97Te0.03,300,-206.34,27189,1.179,0.295
Li0.03Cu1.81Bi0.04Se,761,140.5,54023,1.188,0.683
Rb2Bi8Se12.9805,625,-275,3290,0.54,0.288
YbCd2Sb2,650,154.6,66800,1.232,0.842
Zn0.9Cd0.1Sc0.02O1.03,473,-86.5,52000,5.5,0.033
Gd2Se2.92,750,-145.29,17799,1.125,0.25
Cu5SnSbSe6.58,373,35.52,296552,3.957,0.035
Eu(Zn0.5Cd0.5)2Sb2,650,250,18640,0.978,0.774
Mg1.96Li0.04Zn0.98Sb2,773,122.22,58836,1.1,0.618
Mg2.16(Si0.4Sn0.6)0.985Bi0.015,300,-136,177000,2.682,0.366
La0.3Co4Sb12,673,99,25362,3.58,0.047
Sr0.11Ba0.18Co4Sb12.09,650,-149,242593,3.9,0.898
Cu2SnSe3,473,200,2133,1.68,0.024
Cu2.05Cd0.95SnSe4,300,142.2,10750,2.338,0.028
Ge1.04Te,523,137,211000,3.06,0.677
Ag0.97Cr0.95Sb0.05Se2,703,167.95,9109,0.464,0.389
AgBiSe2.0,612,-263,4536,0.5,0.384
In4Pb0.01Sn0.03Se2.9Cl0.04,623,-259.4,14183,0.581,1.023
Ag2Se,423,-87.6,139837,3.004,0.148
(SnTe)40Sb2Te3,723,129.4,119500,2.802,0.516
Se0.3Co4Sb11.4Se0.6,800,-212,25600,2.1,0.4
SnTe0.1AgSbSe2,300,53.2,206711,2.445,0.072
Cu2S0.5Se0.5,300,172.12,1485,0.448,0.029
Cu1.02Fe0.98S2,100,-671.2,10.75,31.02,0
As2Te2.3Se0.7,473,297.96,421.7,0.466,0.038
Ta0.98Ti0.02FeSb,770,298,34000,5.14,0.452
Pb0.96Tl0.02Na0.02Te,397,150.65,79763,1.796,0.4
Sn0.8Ge0.2Te,873,130,122500,3.1,0.586
Pb0.98Tl0.01Na0.01Te,798,246.41,33233,0.854,1.886
MgAgSb0.98In0.02,450,175.09,64144,1.336,0.696
Ca3AlSb3,522,390,498,0.85,0.045
Bi0.84Pb0.08Yb0.08CuSeO,741,148.03,14120,0.467,0.491
Sn0.87Mn0.1Bi0.03Te,473,87.4,198000,3.85,0.186
Ba2CoRuO6,318,54.8,33800,1.485,0.022
Ca0.05BaGd1.95NiO5,526,259.56,30.01,1.859,0.001
Ca1.55Yb3.45Al2Sb6,327,138.67,180,1.033,0.001
Cu3Sb0.975Ge0.025S4,473,329.1,4950,1.052,0.241
Ag0.97Cr0.99Bi0.01Se2,603,125.42,12082,0.405,0.283
Sn0.98Pb0.01Zn0.01Se,773,370.57,5582,0.549,1.079
TiZr0.005NiSn,626,-189,71800,2.677,0.618
Cu5SnSbSe6.79,573,56.44,260345,3.819,0.124
Ti0.25Hf0.75 CoSb0.85Sn0.15,981,266.3,42950,1.99,1.15
Ba0.97K0.03Zn2As2,323,47.53,164103,3.371,0.036
(SnTe)0.86(CuSbTe2)0.14,625,118.6,116900,2.29,0.449
FeNb0.88Hf0.12Sb,500,138,322500,6.2,0.5
Ba8Ga15.88Zn0.007Sn30.12,340,341,15620,0.937,0.659
Li0.03Cu1.83Bi0.02Se,504,47.75,173563,2.036,0.098
CsNd2Ag3Te5,298,-32.57,83.82,0.53,0
Rb2Bi8Se12.974Cl0.026,428,-106.7,21770,0.769,0.138
BaBiTe2.95Se0.05,575,-196.7,7510,0.408,0.41
Cu3Sb0.997In0.003Se4,323,252,5600,2.48,0.05
(Sn0.8Ge0.2)0.82Mn0.18Te,300,60.3,169300,2.134,0.086
Bi0.8Ba0.2CuSeO,420,180.25,17500,0.805,0.365
BiCu0.90SeO,923,283,162.5,0.647,0.019
AgBi0.9Sb0.1Se2,500,453.13,179,0.402,0.04
Sn0.96Pb0.03Zn0.01Se,773,406,4317,0.363,1.517
Gd2Se2.92,350,-81.16,35380,1.913,0.043
Ca3Al0.95Zn0.05Sb3,422,184,4745,1.06,0.06
In0.015Pb0.985Te0.996I0.004,663,-225.78,19688,1.259,0.529
Hf0.7Ti0.3CoSb0.8Sn0.2,377,175,52700,2.8,0.22
AgBi0.9Sb0.1Se2,378,-130.56,16312,0.481,0.219
Cu1.6S,350,16.75,404808,3.541,0.011
Cu1.55S,450,19.12,488571,4.757,0.017
Cu2.7Ag0.3ErTe3,700,99,55000,0.595,0.634
Ag0.97CrSe2,603,131.46,12601,0.399,0.329
SnTe0.25AgSbSe2,800,139.5,73450,1.74,0.657
TiO2,296,-461.86,388,6.302,0.004
Bi2Te3,373,-143.4,107500,0.9,0.916
Ag(Bi0.9Pb0.1)0.9Sb0.1Se2,526,483.33,316.23,0.443,0.088
Co0.95Ni0.05GeTe,327,-44.26,171693,6.25,0.018
K0.98Ba0.02GaSb4,509,-192.86,21130,0.782,0.512
CuAgTe0.7Se0.3,363,254.08,8503,0.332,0.601
Sn1.03Se0.12Te0.865Br0.015,723,144.2,80702,2.082,0.572
CoSi0.98Ge0.02,320,-81.45,584370,12.08,0.103
Al0.01Ge0.99Te,473,65.5,400000,5.243,0.155
Ag3.8Mo9Se11,645,157.5,22700,0.8,0.454
(Nb0.6Ta0.4)0.8Ti0.2FeSb,300,74.7,541640,1.76,0.18
Sn0.99Ce0.01Te,623,85.43,178500,3.35,0.242
Nb0.8Ta0.2CoSn0.9Sb0.1,728,-156.19,90364,4.186,0.383
Na0.13Co4Sb12,300,-200,86000,6.4,0.2
(PbTe)0.1(Ag2Te)0.9,300,-92.04,145950,0.901,0.413
(CaZn0.4Ag0.2Sb)0.95(LiZnSb)0.05,673,161.9,31325,0.888,0.622
BaBiTe3,574,-183,8685,0.427,0.391
Ag(Bi0.9Pb0.1)0.9Sb0.1Se2,326,561.11,197.18,0.565,0.036
CuAgTe0.7Se0.3,330,232.34,10303,0.375,0.489
Cu2.88Ag0.12SbSe4,348,356,11329,1.68,0.297
Rb7.88Au2.47Ge43.53,100,-6.11,196.23,1.583,0
BiCuSeO,522,398.1,971,0.578,0.14
NbCo0.96Ni0.04Sn,492,-139.41,97278,8.571,0.109
(Sn0.8Ge0.2)0.97Mn0.03Te,773,117,129200,2.36,0.579
Cu2Se0.92I0.08,400,186,10472,0.518,0.28
GeSe0.55Te0.45,430,70.77,181852,2.466,0.159
LaCo0.95Fe0.05O3,300,614.5,45,0.291,0.026
Mg3Sb1.6Bi0.4,660,277,1900,0.47,0.205
FeNb0.88Hf0.12Sb,1000,223.3,109300,4.373,1.253
Ca2Yb9Sb9Ge,419,19.56,873.47,1.845,0
In0.01Pb0.99Te0.996I0.004,378,-202,40625,1.644,0.381
Sn0.97Mn0.03Te,426,53.13,357396,5.803,0.074
Ge4Sb2Te7,373,51.33,200000,2.094,0.094
Cu2Se0.9S0.1,333,45.54,63429,0.427,0.103
Yb0.35Co4Sb12,300,-130,213100,1.8,0.4
Mn2Cu3In3Te8,866,300,2600,0.485,0.418
Bi1.94Nb0.06Te3,366,-97.4,77647,0.87,0.31
Ba0.5Cr5Se8,625.8,312.16,1240,1.47,0.051
CaTiO3,321,-252.3,5400,4.692,0.024
Co9S8,150,-7.2,3679062,15.74,0.002
Ca3Al0.98Zn0.02Sb3,522,230.7,3870,0.947,0.114
ZrNiPb,673,-198.8,29603,5.47,0.145
Pb0.96Tl0.02Na0.02Te,798,245.1,34006,0.803,2.029
Sr0.21Co4Sb12.25,850,-193,122273,3.8,1.019
Cu1.6S,550,33.32,332211,4.4,0.046
Cu1.85Ag0.15SnSe3,500,316.16,1010,0.537,0.094
Mg1.98K0.02Zn0.98Sb2,473,254.5,7407,0.634,0.358
Nb0.9Ta0.1CoSn0.9Sb0.1,924,-173.9,83900,4.09,0.573
Ag(Bi0.9Nb0.1)0.9Sb0.1Se2,326,-88,33333,0.702,0.12
Ba0.05Yb0.09Co4Sb12.13,800,-233,78000,1.4,1.3
Bi0.96Pb0.02Yb0.02CuSeO,446,157,21600,0.744,0.319
(Sn0.8Ge0.2)0.91Mn0.09Te,473,74.1,186400,2.213,0.216
Mg3Sb2,660,328,1320,0.67,0.14
Sn0.91Mn0.09Te0.99I0.01,331,61.86,241538,3.756,0.081
(Sn0.8Ge0.2)0.88Mn0.12Te,473,78,175900,2.064,0.245
Ca3Al0.99Zn0.01Sb3,422,171.7,10900,1.269,0.101
Ca10GaSb9,573,64.93,500,0.603,0.002
Nd2.84Te4,573,-74.3,92600,1.837,0.159
Co4Sb11.5Te0.5,300,-123,100400,3.3,0.1
Gd2Se2.98,750,-196.38,20127,1.237,0.471
Sn1.03Se0.15Te0.85,723,129.85,85088,2.245,0.462
(GeTe)0.9(AgSnSe2)0.1,323,34.7,301935,2.712,0.043
Ge0.55Pb0.45Te,300,50,75949,2.506,0.023
Bi0.94Ag0.06CuSeO,323,223,1662,0.552,0.048
Li0.03Cu1.8Bi0.05Se,504,69.23,91954,1.384,0.161
Ag1.1Sb0.8Pb15.5Te22.6,373,320,5000,1.11,0.187
AgSn15.0BiTe17.0,400,94,157692,2.41,0.231
Sn0.965Pb0.01Cd0.025Se,673,409.93,1762,0.405,0.492
BaZn2As2,723,283.9,3003,0.922,0.19
Zn0.875Cd0.125Sc0.02O1.03,473,-93,38330,5.08,0.03
Ti0.9Mn0.1NiSn0.9Sb0.1,398,-87.14,320530,6.403,0.151
Tl0.7Co4Sn0.75Sb11.25,50,-14.53,47867,2.612,0
Ba8.02Cu4.98Si35Ge5.99,417,-58,131400,2.17,0.083
BaBiTe2.95Se0.05,322,-152,6210,0.437,0.106
Se0.03Co4Sb11.94Se0.06,600,-334,13200,3.2,0.3
BaZn2As2,623,267.9,3636,1.078,0.151
Cu2.94Ag0.06SbSe4,473,439,4444,1.2,0.338
Bi0.8Pb0.1Yb0.1CuSeO,847,173.68,8520,0.478,0.456
Ag3.7Mo9Se11,645,128,35967,1.128,0.337
Cu26Ti2Sb3Ge3S32,498,103.61,111765,1.747,0.342
Ag2Mo6Te8,500,13.04,202768,3.881,0.004
Hf0.9Ti0.1CoSb0.8Sn0.2,676.4,197,60851,3.3,0.487
Mg3.5Gd0.03Sb1.97Te0.03,300,-215,18956,1.004,0.262
Tl9.0BiTe6.0,443,260,10200,3.8,0.08
(GeTe)0.7(AgSnSe2)0.3,323,29.81,68387,1.231,0.016
Sn0.99Ce0.01Te,323,20.3,560700,6.152,0.012
GeSe0.55Te0.45,678,110.93,137313,2.447,0.468
Mn2Cu3In3Te8,770,340,1600,0.65,0.219
YbCd1.4Zn0.6Sb2,550,178.78,52926,1.305,0.73
Nd3Te4,373,-29,324000,3.19,0.032
CuFe0.92In0.08S2,300,-382,1785,3.442,0.023
(Cu3SnS4)0.915(Ga2Te3)0.085,627,96.97,113920,3.148,0.213
In4Pb0.01Sn0.03Se2.9Cl0.04,723,-257.6,14150,0.542,1.253
Zr0.5Hf0.5 Co0.9Ni0.1Sb,1074,-226.9,64120,2.37,1.02
LiCo0.96Ni0.04O2,523,884.14,0.06,1.977,0
Ge4Sb2Te7,573,95.1,101110,1.821,0.288
(SnTe)0.92(CuSbTe2)0.08,620,105.49,141254,2.447,0.398
La1.25Co4Sb12,373,-64,245000,5.265,0.071
Ag0.01Cr1.99Se3,405,119.58,34000,1.618,0.122
GeSe0.95Te0.05,430,595.35,55.01,1.422,0.006
Co4Sb11.46Te0.43,850,-203,104000,2,1
Yb13.49Ce0.39Mn1.05Sb11.08,973,209.06,13521,0.648,0.887
Eu0.34Co4Sb12,850,-148,191000,0.8,0.9
AgCuTe0.5Se0.5,723,150,3883,0.494,0.128
EuZn2Sb2,300,119,118055,2.606,0.192
Yb14MnSb11,725,118,27860,1.025,0.269
AgBi0.95Sb0.05Se2,300,-666.67,2.88,0.488,0.001
Mo3Sb7I,523,36.29,494500,5.77,0.059
Mo3Sb7I1.25,423,28.2,523600,5.19,0.034
K0.98Ba0.02GaSb4,602,-212.93,17309,0.67,0.705
Cu7PSe6,422,179.76,2451.7,0.257,0.13
SnTe0.25AgSbSe2,750,143,71500,1.66,0.661
Ag0.97Cr0.95Sb0.05Se2,303,82.63,20889,0.615,0.07
ZnSc0.02O1.03,300,-165,2800,52.167,0
Yb9Ca4BaMgSb11,1100,227.62,12056,0.602,1.142
La0.7Co4Sb12,773,-179,41791,5.58,0.185
Ba8Cu5.18Si9.98Ge30.85,711,-139.1,46254,1.666,0.378
Yb13.49Ce0.39Mn1.05Sb11.08,1173,228.7,12270,0.71,1.06
Pb0.99Tl0.01Te,597,258.17,28888,1.156,0.995
Nd2.9Te4,1173,-117.92,69230,2.06,0.52
Ag2Se1.02,334,-139,134200,1.064,0.82
S0.04Pd0.20Co3.80Sb11.99,700,-244,58000,2.4,0.7
LiCo0.85Ni0.15O2,1023,343.8,401,1.398,0.035
Ge0.83In0.05Pb0.12Te,375,238.66,17319,0.947,0.391
Ba0.24Co4Sb11.87,850,-178,170900,1.3,1.1
Nd2.9Te4,973,-99.06,87097,2.184,0.35
Tl0.7Co4Sn0.75Sb11.25,250,-50,46330,2.38,0.012
Sn1.03Se0.12Te0.865Br0.015,423,31.8,355263,3.881,0.039
BiCuSeO,542,155.59,4776,0.503,0.125
Cu3Sb0.85Ge0.15S4,473,163,38100,1.413,0.339
Rb2Bi8Se12.9909Cl0.0091,428,-178.62,8603,0.59,0.199
SnS0.91Se0.09,873,379.3,7500,0.628,1.643
Ba0.5Cr5Se8,833,250,1907,0.86,0.115
Bi2Te3,366,-126.53,32338,0.918,0.206
(SnTe)25Sb2Te3,523,83.79,213500,3.46,0.227
LiCo0.85Ni0.15O2,923,389.04,188.74,1.455,0.018
Cu2ZnSn0.925Ag0.075Se4,673,106.2,43417,1.866,0.177
Cu2.94Ag0.06SbSe4,323,407,6275,2.05,0.164
Pb6Bi2Se9,523,-157,15615,1.122,0.179
Cu2.075Sn0.925S3,700,85.95,140625,2.505,0.29
Ag0.01Sn0.99Se0.8S0.2,763,370.94,1608,0.185,0.913
Cu3Sb0.9Ge0.1S4,473,201.7,21544,1.279,0.324
Bi0.96Pb0.04CuSeO,250,156.7,48270,1.707,0.174
(Cu3SnS4)0.895(Ga2Te3)0.105,700,116.16,86518,2.176,0.376
In0.005Pb0.995Te0.994I0.006,481,-166,62900,1.703,0.486
Cu1.97In0.03Se,870,255.72,17450,0.725,1.384
Bi0.92Pb0.08CuSeO,50,24.23,252384,2,0.004
Sn0.91Mn0.09Te,769,158.98,94675,2.382,0.773
In0.005Pb0.995Te0.999I0.001,637,-260.7,12000,1.36,0.382
Ag0.94CuSe,479,208.28,16210,0.563,0.614
Mg2ZnSb2,373,346.2,729,0.685,0.048
Ag1.2Sb0.8Pb14.9Te22.7,423,438.5,1800,1.06,0.138
GeSe0.9Te0.1,678,137.45,3304,1.053,0.04
Nd2.92Te4,1173,-104.72,81910,2.4,0.439
Ag2.0Se0.8Te0.2,300,-126.55,90640,0.75,0.581
BiCuSeO,250,164.43,7.7,1.541,0
(SnTe)25Sb2Te3,673,131.79,133797,2.54,0.583
Mg3.5Gd0.035Sb2,700,-275.35,12156,0.702,0.919
CsNd2Ag3Te5,687,157,976,0.341,0.048
Sn0.92Ge0.04As0.04Te,470,48.05,522222,6.628,0.219
Cu0.98Pd0.02FeS2,200,-223,10746,9.545,0.011
Se0.3Co4Sb11.4Se0.6,300,-213,12600,2.1,0.1
MgAgSb0.98In0.02,350,146,81261,1.343,0.507
Ge0.85In0.05Pb0.1Te,550,237.31,36076,1.113,1.004
BiSbSe2.88Cl0.12,500,-232,5450,0.47,0.312
Tl9.0BiTe6.0,503,285,8100,3.43,0.096
In3.96Pb0.04Se3,405,-221,8700,1.04,0.165
Ca10MnSb9,373,10.82,7.38,0.727,0
Sn0.97Pb0.02Zn0.01Se,300,428.87,4233,1.279,0.183
Bi1.2Sb0.8Se2.88Cl0.12,500,-152,17127,0.71,0.279
(CaZn0.4Ag0.2Sb)0.83(LiZnSb)0.17,773,189.25,21776,0.578,1.043
TiS2,300,-251,58824,67.8,0.016
K0.975Ba0.025GaSb4,509,-206.12,20000,0.796,0.544
Sn1.03Te,523,48.72,286957,6.283,0.057
CuAgTe0.5Se0.5,393,129.25,8527,0.314,0.178
